,user_id,score,date,store,review_title,review_contents
184,j*j*****,5,21.04.30.,하이마트쇼핑몰,예뻐요.. 예쁘고.. 보라색 영롱.. ,"예뻐요.. 예쁘고.. 보라색 영롱.. 퍼플,,, 최고...!!"
185,crys****,5,21.05.20.,애플 공식 브랜드스토어,아이폰 12와 애플워치의 조합 최고입니다! 👍,아이폰 12와 애플워치의 조합 최고입니다! 👍
186,kong****,5,21.05.19.,프리스비애플프리미엄리셀러,좋습니다 가볍고 카메라 기능 좋아서 만족해요,좋습니다 가볍고 카메라 기능 좋아서 만족해요
187,sblh****,5,21.05.27.,애플 공식 브랜드스토어,선물해줬더니 색깔 너무 이쁘다고 좋아합니다,선물해줬더니 색깔 너무 이쁘다고 좋아합니다
188,k*h*****,5,21.05.01.,하이마트쇼핑몰,"퍼플 진짜 너무 이뻐요~~
100프로 ",퍼플 진짜 너무 이뻐요~~100프로 만족입니다.
189,best****,5,21.05.26.,애플 공식 브랜드스토어,디자인 좋습니다. 화면도 적당해요,디자인 좋습니다. 화면도 적당해요
190,styy****,4,21.06.10.,애플 공식 브랜드스토어,빨리와요..이쁜지는 모르겠어요ㅜ,빨리와요..이쁜지는 모르겠어요ㅜ
191,d*d*****,5,21.02.10.,하이마트쇼핑몰,빠른 시간내에 잘 받았습니다~=,빠른 시간내에 잘 받았습니다~=
192,mhso****,5,21.05.29.,시온스토어,잘받았습니다 사업 번창하세요,잘받았습니다 사업 번창하세요
193,phil****,5,21.06.05.,시온스토어,배송도 빠르고 제품도 좋아요~,배송도 빠르고 제품도 좋아요~
194,aji1****,5,21.05.16.,프리스비애플프리미엄리셀러,좋아요. 만족해요. 이뻐요!,좋아요. 만족해요. 이뻐요!
195,snoo****,3,21.05.24.,프리스비애플프리미엄리셀러,화질 좋고 잘 쓰고 있어요,화질 좋고 잘 쓰고 있어요
196,b*b*****,5,21.05.13.,하이마트쇼핑몰,퍼플 예뻐요 잘샀어요,퍼플 예뻐요 잘샀어요
197,8663****,5,21.05.21.,애플 공식 브랜드스토어,배송빠르고 이쁩니다,배송빠르고 이쁩니다
198,pem8****,5,21.06.03.,애플 공식 브랜드스토어,출고 전 주문했더니 배송도 빨랐구요 실물 보고 사서 색상은 알았고 불량하나도 없이 완전 양품이라 좋아요ㅎㅎ,출고 전 주문했더니 배송도 빨랐구요 실물 보고 사서 색상은 알았고 불량하나도 없이 완전 양품이라 좋아요ㅎㅎ
199,jolb****,5,21.01.20.,애플 공식 브랜드스토어,배송 빠르고 상품 정말 깔끔하니 좋아요 큰 아이 졸업 및 입학 선물로 자급제 질렀습니다. 화이트 깔끔하니 너무 좋아해요,배송 빠르고 상품 정말 깔끔하니 좋아요 큰 아이 졸업 및 입학 선물로 자급제 질렀습니다. 화이트 깔끔하니 너무 좋아해요
200,g*5*****,3,21.05.08.,하이마트쇼핑몰,"빠른배송입니다. 아이폰12 128G, 블","빠른배송입니다. 아이폰12 128G, 블루가 멋지네요 "
201,kjwo****,5,21.04.19.,애플 공식 브랜드스토어,너무 옙븝니다 크기도 좋고 색도 예쁘고 💜💜,너무 옙븝니다 크기도 좋고 색도 예쁘고 💜💜
202,jame****,5,21.01.15.,애플 공식 브랜드스토어,전날 오전에 주문했더니 하루만에 배송되었습니다.화이트 재고가 금방 소진되던데 다행히 주문에 성공했네요.휴대폰도 디자인 성능 모두 마음에 듭니다.,전날 오전에 주문했더니 하루만에 배송되었습니다.화이트 재고가 금방 소진되던데 다행히 주문에 성공했네요.휴대폰도 디자인 성능 모두 마음에 듭니다.
203,m*u*****,5,21.05.04.,하이마트쇼핑몰,12프로에서 색상땜에 12로 갈아탔,12프로에서 색상땜에 12로 갈아탔는데 무게도 가볍고 너무 예뻐요. 배송도 빨라서 출시날쯤 바로 받아봤습니다 만족💜
204,nice****,5,21.05.10.,애플 공식 브랜드스토어,자급제로 처음 구매해봤는데 유심만 끼우면 돼서 너무 편하네요. 만족합니다.,자급제로 처음 구매해봤는데 유심만 끼우면 돼서 너무 편하네요. 만족합니다.
205,7508****,5,21.05.28.,애플 공식 브랜드스토어,아 정말 잘 사용하고있습다 역시 가볍고 이쁘ㅂ니다,아 정말 잘 사용하고있습다 역시 가볍고 이쁘ㅂ니다
206,1992****,5,21.01.28.,프리스비애플프리미엄리셀러,"스크래치 없이 안전하게 잘 왔고, 개통도 잘 했어요!","스크래치 없이 안전하게 잘 왔고, 개통도 잘 했어요!"
207,fend****,5,21.01.19.,애플 공식 브랜드스토어,잘 받았습니다. 배송도 빠르고 너무 좋네요,잘 받았습니다. 배송도 빠르고 너무 좋네요
208,coca****,5,21.05.08.,애플 공식 브랜드스토어,배송도 너무 빨랐고 대만족 했습니다~,배송도 너무 빨랐고 대만족 했습니다~
209,y*n*****,4,21.05.15.,하이마트쇼핑몰,좋은상품 저렴하게 잘 구매했습니,좋은상품 저렴하게 잘 구매했습니다 
